age,gender,height,weight,smokes,drinks,exercise,pulse
22,female,70.5,251,yes,yes,never,84
22,female,56.75,109,sometimes,no,weekly,61
21,female,67.5,253,sometimes,yes,never,62
24,female,52.25,184,sometimes,never,daily,99
20,male,60.25,222,yes,never,daily,75
17,female,48.25,147,no,yes,never,52
24,female,60,245,sometimes,never,sometimes,64
17,male,63.5,164,never,no,daily,54
26,male,70.25,115,sometimes,sometimes,sometimes,52
19,male,72,291,never,never,weekly,98
24,male,52.5,131,no,no,sometimes,84
23,male,63.5,290,yes,sometimes,sometimes,94
19,female,53.75,250,yes,never,sometimes,83
21,female,74,169,yes,never,daily,48
17,female,49.75,121,no,no,weekly,90
17,female,60.25,101,no,never,never,76
24,male,67.5,102,never,sometimes,never,100
19,male,77.5,157,no,never,sometimes,82
17,female,50,236,yes,no,weekly,73
24,female,49.25,220,yes,yes,daily,56
24,male,64.5,182,no,no,sometimes,70
19,female,70,207,no,never,weekly,74
26,male,77.25,272,never,no,daily,101
19,female,70.75,104,sometimes,no,never,48
25,female,71.75,181,never,sometimes,never,66
25,female,65,134,sometimes,never,sometimes,62
23,male,65.25,108,never,yes,weekly,56
26,male,68.75,247,sometimes,no,weekly,72
24,male,56.75,107,no,yes,never,84
17,male,50.25,238,never,yes,never,96
21,female,48,155,never,no,daily,80
17,female,62.75,269,never,no,weekly,56
18,male,61.75,184,yes,no,weekly,59
21,female,48.25,207,yes,sometimes,daily,51
20,male,76,191,no,never,sometimes,65
19,female,72.25,141,sometimes,yes,never,83
17,female,74,144,no,no,never,66
24,female,63.75,162,never,no,weekly,85
25,female,69.75,226,no,sometimes,weekly,73
23,male,57.25,265,never,sometimes,never,54
26,male,77.5,204,never,no,daily,58
20,female,54,267,sometimes,no,weekly,49
19,female,57.5,211,yes,no,never,61
20,male,48.75,189,yes,yes,sometimes,94
17,male,71.75,264,yes,no,weekly,75
19,male,48.5,150,no,no,daily,101
21,male,53,155,never,never,weekly,96
18,female,76.75,262,yes,sometimes,sometimes,71
20,male,73.5,238,yes,sometimes,weekly,64
20,female,75.75,241,no,never,weekly,87
20,male,72.5,222,no,sometimes,never,96
23,male,52,239,never,no,daily,65
23,female,67.5,176,no,never,never,100
17,female,62.5,136,no,never,sometimes,87
26,male,67,119,yes,yes,sometimes,66
25,male,77.75,100,yes,no,weekly,92
19,female,56.25,253,never,no,daily,61
21,male,73.25,182,sometimes,sometimes,sometimes,60
20,female,57,252,never,yes,daily,74
22,male,58.25,138,yes,sometimes,never,62
25,female,65,117,never,sometimes,never,99
21,female,51.25,244,sometimes,never,never,77
26,female,73,246,no,yes,daily,89
17,female,71,182,never,sometimes,sometimes,80
22,male,68.75,188,never,sometimes,sometimes,88
23,male,53,233,sometimes,no,sometimes,62
26,female,61.25,136,yes,never,sometimes,97
20,female,69.25,284,no,never,never,62
20,male,75,245,never,yes,never,62
23,male,52.25,180,never,no,never,72
23,male,64,180,no,never,weekly,100
25,male,54,229,never,yes,never,86
23,female,53.5,188,never,never,weekly,59
20,male,54,110,sometimes,no,weekly,81
22,male,61.5,149,sometimes,no,never,73
22,female,75.25,184,yes,no,weekly,101
19,female,68.25,167,sometimes,yes,never,100
23,female,66,289,never,yes,sometimes,65
18,male,48.25,136,yes,no,daily,55
25,female,62.75,268,never,never,daily,71
20,female,66.5,183,yes,no,daily,88
23,female,48,204,yes,no,sometimes,56
19,male,75,234,sometimes,never,daily,97
21,male,74.75,143,never,no,weekly,101
23,male,62,172,no,no,daily,82
23,male,49.75,206,sometimes,sometimes,daily,78
21,female,65.75,212,yes,never,daily,73
25,female,76.75,285,yes,sometimes,sometimes,57
18,female,56.25,158,yes,never,sometimes,93
21,female,59.75,277,yes,yes,daily,49
20,male,64.5,146,yes,yes,weekly,83
22,male,72.25,247,no,sometimes,weekly,65
21,male,48.25,253,no,never,daily,88
24,female,68.25,190,never,never,weekly,65
18,female,52,268,sometimes,no,sometimes,51
26,female,55.5,105,no,no,weekly,92
25,female,49,261,sometimes,yes,daily,51
18,male,69,187,sometimes,never,never,77
22,male,64.25,276,sometimes,yes,sometimes,55
20,female,61.75,176,no,yes,sometimes,63
26,male,58.5,219,never,no,never,101
25,male,55.75,197,sometimes,never,sometimes,65
17,male,75.75,274,no,never,weekly,77
23,male,59.25,265,yes,yes,daily,53
25,female,56.75,113,sometimes,yes,weekly,87
18,female,75.75,102,no,never,never,100
19,female,59.75,163,sometimes,no,sometimes,89
20,female,77.25,273,never,no,daily,94
19,female,52.5,196,no,yes,daily,79
17,female,60.5,262,sometimes,no,daily,89
